Reference, Quantity, Value, Value2, Footprint, Datasheet, Wert2
B101 B102 B103 B104 ,4,TEST_1P,,rklib:MountingHole_3.2mm_M3_DIN965_Pad,
C103 ,1,5n60,X7R,rklib:C0805-X7R,
C106 ,1,150p,C0G,rklib:C0805-X7R,
C119 C246 C247 ,3,10u0,,rklib:C0805-X7R,
C120 ,1,22u0,,rklib:C0805-X7R,
C101 C104 C109 C114 C121 C123 C124 C126 C127 C129 ,10,10u0,X7R,rklib:C0805-X7R,
C102 C105 C107 C108 C110 C111 C112 C113 C115 C116 C117 C118 C122 C125 C128 C202 C203 C204 C206 C207 C208 C209 C210 C211 C212 C213 C214 C215 C301 ,29,100n,X7R,rklib:C0805-X7R,
C201 ,1,1u00,X7R,rklib:C0805-X7R,
C205 ,1,22p0,X7R,rklib:C0805-X7R,
C216 C241 ,2,10n0,X7R,rklib:C0805-X7R,
C242 C243 C245 ,3,100n,,rklib:C0805-X7R,
C244 ,1,1n00,,rklib:C0805-X7R,
C248 C249 C250 C251 C252 C253 C254 C255 C256 C257 C258 C259 C260 C261 C262 C263 C264 C265 C266 C267 C268 C269 C270 C271 C272 ,25,100n,,Capacitors_SMD:C_0402,
D201 D202 ,2,1N4148,,Diodes_SMD:MiniMELF_Standard,
D65 ,1,MBR120VLSFT,,Diodes_SMD:SOD-123,
FER101 FER102 ,2,600R./100MHz,,rklib:C0805-RES,
IC101 ,1,ADAU1452,,rklib:QFP72_10x10_EP_Handsoldering,
IC102 ,1,25AA1024,,Housings_SOIC:SOIJ-8_5.3x5.3mm_Pitch1.27mm,
IC103 ,1,ADM811TARTZ,,TO_SOT_Packages_SMD:SOT-143,
IC104 ,1,LM1117-5.0,,TO_SOT_Packages_SMD:SOT-223,
IC105 IC106 ,2,NCP1117LPST33,,TO_SOT_Packages_SMD:SOT-223,
IC107 ,1,TLV62565,,TO_SOT_Packages_SMD:SOT-23-5,
IC201 ,1,CS2100CP,,Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm,
IC202 ,1,LCMXO2-2000HC-4TG100,,Housings_QFP:TQFP-100_14x14mm_Pitch0.5mm,
IC203 ,1,74AHC14,,rklib:SOIC14_3.9x8.7mm_Pitch1.27mm,
IC204 ,1,74AHC04,,rklib:SOIC14_3.9x8.7mm_Pitch1.27mm,
IC24 ,1,XE216-512-TQ128,,rklib:TQFP-128_14x14mm_Pitch0.4mm_EP_Handsoldering,
IC25 ,1,NCP4681DSQ25T1G,,TO_SOT_Packages_SMD:SC-70-5,
IC26 ,1,IS25LQ080B,,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
IC301 ,1,NC7WZ07,,TO_SOT_Packages_SMD:SC-70-6,
JP101 ,1,Jumper,,Pin_Headers:Pin_Header_Straight_1x02,
L101 ,1,2u20,,rklib:MCSDRH73B,
OSC1 ,1,24M0,,rklib:ASFL1,
OSC201 ,1,24M576,,rklib:ASFL1,
Q101 ,1,STD2805,,TO_SOT_Packages_SMD:TO-252-2Lead,
Q102 Q103 ,2,2N7002,,TO_SOT_Packages_SMD:SOT-23,
R101 R113 ,2,1K00,Thick,rklib:C0805-RES,
R102 R103 R104 R205 R207 R218 R219 R220 R252 ,9,33R0,,Resistors_SMD:R_Array_Convex_4x0603,
R105 ,1,4K32,Thick,rklib:C0805-RES,
R106 R109 R110 R111 R112 R301 R302 ,7,10K0,Thick,rklib:C0805-RES,
R107 R108 ,2,2K00,Thick,rklib:C0805-RES,
R114 ,1,100K,Thick,rklib:C0805-RES,
R115 ,1,80K6,,rklib:C0805-RES,
R116 ,1,120K,,rklib:C0805-RES,
R204 R249 ,2,10K0,,rklib:C0805-RES,
R209 ,1,301R,Thick,rklib:C0805-RES,
R210 ,1,100R,Thick,rklib:C0805-RES,
R211 R214 R215 R216 ,4,51R1,Thick,rklib:C0805-RES,
R201 R203 R212 ,3,33R0,Thick,rklib:C0805-RES,
R213 ,1,1M00,Thick,rklib:C0805-RES,
R217 ,1,4K70,Thick,rklib:C0805-RES,
R202 R206 R208 R221 R222 R250 R253 R254 R257 R258 ,10,33R0,,rklib:C0805-RES,
R223 R224 ,2,DNP,Thick,rklib:C0805-RES,
R251 ,1,4R70,,rklib:C0805-RES,
R255 ,1,1K00,,rklib:C0805-RES,
R256 ,1,43R2,,rklib:C0805-RES,
R259 ,1,100K,,rklib:C0805-RES,
SW201 ,1,5MS1,,rklib:5MS1-SPDT,
X101 ,1,CONN_01X03,,Connectors_Molex:Connector_Molex_PicoBlade_53047-0310,
X102 ,1,HEADER_02X05,,Pin_Headers:Pin_Header_Straight_2x05,
X103 ,1,CONN_02X02,,Connectors_Molex:Connector_Microfit3_Header_02x02_Straight_43045-0428,
X104 ,1,BARREL_JACK,,Connect:BARREL_JACK,
X105 X106 ,2,CONN_02X17,,Connect:IDC_Header_Straight_34pins,
X201 X202 ,2,BNC,,rklib:BNC-H,
X203 ,1,CONN_02X04,,Pin_Headers:Pin_Header_Straight_2x04,
X5 ,1,CONN_01X04,,Pin_Headers:Pin_Header_Straight_1x04,
X6 ,1,USB_B,,Connect:USB_B,
X7 ,1,CONN_02X10,,Pin_Headers:Pin_Header_Straight_2x10,